cpu_usage_pct,sufficient_cpu
21.7,0
19.8,0
79.5,1
78.5,1
84.9,1
21.2,0
22.3,0
23,0
24.2,0
74.5,0
84.2,1
86.6,1
93,1
18.8,0
20.1,0
21.1,0
25.8,0
35.7,0
46.3,0
57.7,0
79.3,1
82.4001,1
83.001,1
83.20001,1
85.4,1
88.4,1
90.9,1
94.1001,1
16.4,0
19.6,0
20.2,0
20.4001,0
21,0
21.3,0
21.5,0
23.3,0
30.8,0
34.6003,0
35.5,0
40.2,0
53.3,0
59.8,0
67.1,0
77.9,1
78.2,1
79.9,1
81.9001,1
95.0001,1
98.2,1
9.7,0
17.5,0
20.3,0
20.9,0
22,0
22.2,0
22.6,0
26.2,0
27.4,0
28.7001,0
32.9,0
34.44,0
41.2003,0
66.3,0
67.4,0
67.5,0
68.5,0
74.4,0
76.6,1
77.3,1
77.5,1
77.6,1
78.7,1
80.5,1
82.1001,1
82.2001,1
84.3,1
84.4,1
85.6,1
89.8,1
91.1,1
94.7001,1
96.6,1
21.9,0
0,0
16.3,0
18.6,0
19.4,0
20,0
23.2,0
23.5,0
28.2,0
30.3,0
31.4,0
33.3,0
38.1,0
40.9003,0
44,0
50.8,0
55.6,0
55.7,0